Course ID,Course Name
192,ntumed_cohort_2017y3 (Archived)
193,ntumed_cohort_2017y2 (Archived)
196,TestCourseApril (Archived)
76,ntumed_cohort_2013y2 (Archived)
78,ntumed_cohort_2014y1 (Archived)
95,ntumed_cohort_2013y3 (Archived)
97,Visits to LKCSoM (Archived)
99,ntumed_cohort_2013y5 (Archived)
101,ntumed_cohort_2014y4 (Archived)
102,ntumed_cohort_2014y5 (Archived)
103,ntumed_cohort_2015y1 (Archived)
105,ntumed_NAS_Cohort_2015Y1 (Archived)
106,ntumed_NAS_Cohort_2015Y2 (Archived)
108,Y3 EModules (Archived)
113,ntumed_Cohort_2013Y3_Posting_Quiz (Archived)
114,ntumed_Cohort_2014Y2_Quiz (Archived)
115,ntumed_Cohort_2015Y1_Quiz (Archived)
118,ntumed_Cohort_2013Y3-StreamB-General-Surgery-And-Urology (Archived)
119,ntumed_Cohort_2013Y3-StreamB-Surgery-Orthopaedic (Archived)
120,ntumed_Cohort_2013Y3-StreamA-General-Surgery-And-Urology (Archived)
121,ntumed_Cohort_2013Y3-StreamA-IRTW-Medicine (Archived)
122,ntumed_Cohort_2013Y3-StreamA-PRTW-Medicine (Archived)
123,ntumed_Cohort_2013Y3-StreamA-ShortPosting1 (Archived)
124,ntumed_Cohort_2013Y3-StreamA-ShortPosting2 (Archived)
125,ntumed_Cohort_2013Y3-StreamA-Surgery-Orthopaedic (Archived)
126,ntumed_Cohort_2013Y3-StreamB-IRTW-Medicine (Archived)
127,ntumed_Cohort_2013Y3-StreamB-PRTW-Medicine (Archived)
128,ntumed_Cohort_2013Y3-StreamB-ShortPosting1 (Archived)
129,ntumed_Cohort_2013Y3-StreamB-ShortPosting2 (Archived)
130,ntumed_Cohort_2013Y3-StreamC-General-Surgery-And-Urology (Archived)
131,ntumed_Cohort_2013Y3-StreamC-IRTW-Medicine (Archived)
132,ntumed_Cohort_2013Y3-StreamC-PRTW-Medicine (Archived)
133,ntumed_Cohort_2013Y3-StreamC-ShortPosting1 (Archived)
134,ntumed_Cohort_2013Y3-StreamC-ShortPosting2 (Archived)
135,ntumed_Cohort_2013Y3-StreamC-Surgery-Orthopaedic (Archived)
138,Test (Archived)
139,Year 1 Content Query (Archived)
140,Year 2 Content Query (Archived)
141,Year 3 Content Query (Archived)
154,ntumed_Cohort_2016Y1 (Archived)
155,Y5 EModules (old) (Archived)
167,ntumed_Cohort_2016Y2 (Archived)
168,ntumed_Cohort_2016Y1_Quiz (Archived)
169,ntumed_Cohort_2015Y2_Quiz (Archived)
170,ntumed_cohort_2015y2 (Archived)
171,ntumed_Cohort_2014Y3_CTW (Archived)
172,ntumed_Cohort_2014Y3_StreamA (Archived)
173,ntumed_Cohort_2014Y3_StreamA_Posting_Quiz (Archived)
174,ntumed_Cohort_2014Y3_StreamB (Archived)
175,ntumed_Cohort_2014Y3_StreamB_Posting_Quiz (Archived)
176,ntumed_Cohort_2014Y3_StreamC (Archived)
177,ntumed_Cohort_2014Y3_StreamC_Posting_Quiz (Archived)
178,ntumed_Cohort_2013Y4_StreamC_Posting_Quiz (Archived)
179,ntumed_Cohort_2013Y4_StreamC (Archived)
180,ntumed_Cohort_2013Y4_CTW (Archived)
181,ntumed_Cohort_2013Y4_StreamA (Archived)
182,ntumed_Cohort_2013Y4_StreamA_Posting_Quiz (Archived)
183,ntumed_Cohort_2013Y4_StreamB (Archived)
184,ntumed_Cohort_2013Y4_StreamB_Posting_Quiz (Archived)
185,ntumed_Cohort_2014Y3_eModules (Archived)
186,ntumed_Cohort_2013Y3_eModules (Archived)
187,Year 4 Content Query (Archived)
188,ntumed_UAT04Aug2016 (Archived)
191,ntumed_cohort_2017y1 (Archived)
192,ntumed_cohort_2017y3 (Archived)
193,ntumed_cohort_2017y2 (Archived)
196,TestCourseApril (Archived)
197,ntumed_TestCourseApril (Archived)
198,ProfessorYvonne (Archived)
201,Y5 Safe Prescribing eModules (Archived)
204,ntumed_Cohort_2014Y4_CTW (Archived)
205,ntumed_Cohort_2014Y4_StreamA (Archived)
206,ntumed_Cohort_2014Y4_StreamA_Posting_Quiz (Archived)
207,ntumed_Cohort_2014Y4_StreamB (Archived)
208,ntumed_Cohort_2014Y4_StreamB_Posting_Quiz (Archived)
209,ntumed_Cohort_2014Y4_StreamC (Archived)
210,ntumed_Cohort_2014Y4_StreamC_Posting_Quiz (Archived)
212,ntumed_Cohort_2015Y3_CTW (Archived)
213,ntumed_Cohort_2015Y3_eModules (Archived)
214,ntumed_Cohort_2015Y3_StreamA (Archived)
215,ntumed_Cohort_2015Y3_StreamA_Posting_Quiz (Archived)
216,ntumed_Cohort_2015Y3_StreamB (Archived)
217,ntumed_Cohort_2015Y3_StreamB_Posting_Quiz (Archived)
218,ntumed_Cohort_2015Y3_StreamC (Archived)
219,ntumed_Cohort_2015Y3_StreamC_Posting_Quiz (Archived)
220,ntumed_Cohort_2016Y2_Quiz (Archived)
222,ntumed_Cohort_2017Y1_Quiz (Archived)
223,Year 5 Content Query (Archived)
224,TBL Experiments (Archived)
225,ntumed_Cohort_2013Y5_eModules (Archived)
227,ntumed_Cohort_2013Y5_StreamA (Archived)
228,ntumed_Cohort_2013Y5_StreamB (Archived)
229,ntumed_Cohort_2013Y5_StreamC (Archived)
230,ntumed_cohort_2017y4 (Archived)
231,ntumed_Cohort_2013Y5_CTW_Posting_Quiz (Archived)
239,TEL (Archived)
240,Information Literacy (Archived)
242,ntumed_cohort_2018y2 (Archived)
244,ntumed_cohort_2018y1 (Archived)
245,ntumed_Information Literacy (Archived)
247,ntumed_cohort_2018y3 (Archived)
249,ntumed_LKC TESTING SANDBOX 2017 (Archived)
250,ntumed_LKC TESTING SANDBOX 2018 (Archived)
251,ntumed_Cohort_2018Y1_Quiz (Archived)
252,ntumed_Cohort_2017Y2_Quiz (Archived)
253,ntumed_Cohort_2016Y3_CTW (Archived)
254,ntumed_Cohort_2016Y3_eModules (Archived)
255,ntumed_Cohort_2016Y3_StreamA (Archived)
256,ntumed_Cohort_2016Y3_StreamA_Posting_Quiz (Archived)
257,ntumed_Cohort_2016Y3_StreamB (Archived)
258,ntumed_Cohort_2016Y3_StreamB_Posting_Quiz (Archived)
259,ntumed_Cohort_2016Y3_StreamC (Archived)
260,ntumed_Cohort_2016Y3_StreamC_Posting_Quiz (Archived)
261,ntumed_cohort_2016y3 (Archived)
263,ntumed_Cohort_2015Y4_CTW (Archived)
264,ntumed_Cohort_2015Y4_StreamA (Archived)
265,ntumed_Cohort_2015Y4_StreamA_Posting_Quiz (Archived)
266,ntumed_Cohort_2015Y4_StreamB (Archived)
267,ntumed_Cohort_2015Y4_StreamB_Posting_Quiz (Archived)
268,ntumed_Cohort_2015Y4_StreamC (Archived)
269,ntumed_Cohort_2015Y4_StreamC_Posting_Quiz (Archived)
270,ntumed_Cohort_2014Y5_CTW (Archived)
271,ntumed_Cohort_2014Y5_CTW_Posting_Quiz (Archived)
272,ntumed_Cohort_2014Y5_eModules (Archived)
273,ntumed_Cohort_2014Y5_StreamA (Archived)
274,ntumed_Cohort_2014Y5_StreamB (Archived)
275,ntumed_Cohort_2014Y5_StreamC (Archived)
276,ntumed_cohort_2013y6 (Archived)
277,ntumed_cohort_2015y4 (Archived)
279,ntumed_LKC TESTING SANDBOX 2019 (Archived)
280,ntumed_cohort_2019y1 (Archived)
281,ntumed_Cohort_2019Y1_Quiz (Archived)
282,ntumed_Cohort_2018Y2_Quiz (Archived)
283,ntumed_Cohort_2017Y3_eModules (Archived)
284,ntumed_Cohort_2017Y3_CTW (Archived)
285,ntumed_Cohort_2017Y3_StreamA (Archived)
286,ntumed_Cohort_2017Y3_StreamA_Posting_Quiz (Archived)
287,ntumed_Cohort_2017Y3_StreamB (Archived)
288,ntumed_Cohort_2017Y3_StreamB_Posting_Quiz (Archived)
289,ntumed_Cohort_2017Y3_StreamC (Archived)
290,ntumed_Cohort_2017Y3_StreamC_Posting_Quiz (Archived)
291,ntumed_Cohort_2016Y4_CTW (Archived)
